,french,german
Works (nodes),256.0,114.0
Co-occurring works,200.0,75.0
Manuscripts,911.0,448.0
Multi-work manuscripts,281.0,104.0
Witnesses,1616.0,596.0
Edges,907.0,141.0
Density,0.0278,0.0219
Avg degree,7.09,2.47
Avg edge weight,2.21,1.64
Max edge weight,36.0,10.0
Components,64.0,46.0
Largest component,182.0,63.0
Avg clustering,0.5006,0.2289
Communities,72.0,53.0
Mean works / manuscript,1.77,1.33
Max works / manuscript,19.0,10.0
Mean witnesses / work,5.38,5.14
Median work date,1250.0,1265.0
Median manuscript date,1350.0,1450.0
